info,source,img,link,classification
"“O vídeo do Biden assinando folha de papel em branco está dando a volta ao mundo…”
 ","Legenda de vídeo que, até às 18h do dia 2 de fevereiro de 2021, tinha sido compartilhado por mais de 190 pessoas no Facebook",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/biden.png,https://piaui.folha.uol.com.br/lupa/2021/02/02/verificamos-biden-folhas-branco/,FALSO
"“César Tralli, jornalista da globolixo vive vociferando para o povo usar máscara, olha o naipe dele” ",,https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/tralli-mascara-interna.jpg,https://piaui.folha.uol.com.br/lupa/2021/02/02/verificamos-tralli-sem-mascara/,FALSO
"“Uma dose da Vachina $ 58,20. Uma dose da Oxford $ 3,40. Alguém já viu a imprensa questionar esse preço?” ",,https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/valores-vacina-interna.jpg,https://piaui.folha.uol.com.br/lupa/2021/02/01/verificamos-coronavac-vacina-oxford/,EXAGERADO
"“Morre o primeiro indígena [Fernando Katukina] a tomar a CoronaVac no Acre”
 ","Título de texto publicado no site Imprensa Brasil que, até às 13h do dia 2 de fevereiro de 2021, tinha sido compartilhado por 500 pessoas no Facebook",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/indigenasmeio.png,https://piaui.folha.uol.com.br/lupa/2021/02/02/verificamos-morte-cacique-vacina/,"VERDADEIRO, MAS"
"“A empresa Nestlé, anúnciou (sic) hoje através de seu departamento de relações institucionais e relações punidas, que devido a grande repercussão de sua marca registrada leite condensado “MOÇA “, que fará a doação de 8 mil caixas do produto as Forças armadas que será distribuída partes iguais entre às 3 forças de segurança Naciona brasileira. Pela excelente campanha de propaganda divulgado em âmbito nacional sem custos a empresa. Ass. NESTLÉ DO BRASIL”
 ","Legenda de imagem  que, até às 13h do dia 1º de fevereiro de 2021, tinha sido compartilhado por mil pessoas no Facebook",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/nestlemeio.png,https://piaui.folha.uol.com.br/lupa/2021/02/01/verificamos-nestle-leite-condensado/,FALSO
“Você sabia que a Maria Flor abocanhou 10 milhões de reais com projetos artísticos da Lei Rouneat (sic) nos governos Petistas? Tá explicado o desespero.” ,"Post publicado noInstagram que, até as 15h30 do dia 29 de janeiro de 2021, tinha recebido mais de 1.973 curtidas",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/Maria-Flor-e-Lei-Rouanet-Interna.png,https://piaui.folha.uol.com.br/lupa/2021/01/29/verificamos-maria-flor-lei-rouanet/,FALSO
"“EFEITO BIDEN Tratamento precoce começa a ser visto com outros olhos Após a saída de Donald Trump, uso da hidroxicloroquina é reavaliado favoravelmente nos EUA.” ","Título de conteúdo de site publicado no Facebook que, até as 14h30 do dia 1 de fevereiro de 2021, tinha sido compartilhado 700 vezes",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/0102-Hidroxicloroquina-Biden-EUA-Interna.png,https://piaui.folha.uol.com.br/lupa/2021/02/01/verificamos-hidroxicloroquina-estados-unidos-trump/,FALSO
"“Esse FDP,FECHA TD EM SP JUNTO COM O COVEIRO e VAI para o Maracanã .Cadê a Máscara CALCINHA APERTADA”
 ","Legenda de foto publicada no Facebook que, até as 10h do dia 1º de fevereiro de 2021, tinha sido compartilhada por mais de 10 mil pessoas",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/02/printdoriainterna.png,https://piaui.folha.uol.com.br/lupa/2021/02/01/verificamos-doria-libertadores-santos/,FALSO
"“Na Irlanda o Governo colocou este aviso eletrônico no pedágio, avisando a população: vacinas podem causar paralisia, tirem duas máscaras* máscaras acumulam germes, testes de covid são fraudulentos 95% dos testes de covid são falso positivo. vacina não é segura”
 ",Texto e vídeo que circulam no WhatsApp,https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/irlanda-1.png,https://piaui.folha.uol.com.br/lupa/2021/01/28/verificamos-irlanda-vacina-covid/,FALSO
"“Luciano Hang da Havan manda 200 cilindros de oxigênio para Manaus em seus aviões”
 ","Legenda de imagem  que, até às 15h do dia 27 de janeiro de 2021, tinha sido compartilhado por mais de 500 pessoas no Facebook",https://piaui.folha.uol.com.br/lupa/wp-content/uploads/2021/01/lucianomeio.png,https://piaui.folha.uol.com.br/lupa/2021/01/27/verificamos-luciano-hang-oxigenio/,"VERDADEIRO, MAS"
